search_query,title,image_url,filename,save_path,download_status,has_people,has_plague_doctor,has_grim_reaper,confidence,tags,reason,error
black death,a skeleton holding a sculler in one hand and an arrow in the other,https://i.pinimg.com/236x/ed/e8/4d/ede84d3f42e445eb1132fa0d32acef7d.jpg,black_death_1775740907_a_skeleton_holding_a_sculler_in_one_hand_and_an_arrow_in_the_other.jpg,pinterest_data\raw\black_death_1775740907_a_skeleton_holding_a_sculler_in_one_hand_and_an_arrow_in_the_other.jpg,success,1,0,1,0.95,"['plague_doctor', 'grim_reaper', 'skeleton', 'scythe', 'robe', 'mask', 'beak_mask', 'medieval', 'historical', 'indoor']",图像中有一个骷髅骨架，身穿黑袍，手持镰刀，符合死神的特征。,
black death,"three wooden crosses in the ground with a quote from roman catholics above them that says, for we br",https://i.pinimg.com/236x/1c/5b/04/1c5b047dd6461f878de9729dd976ee2c.jpg,black_death_1775740908_three_wooden_crosses_in_the_ground_with_a_quote_from_roman_catholics_above_them_that_says__for_we_br.jpg,pinterest_data\raw\black_death_1775740908_three_wooden_crosses_in_the_ground_with_a_quote_from_roman_catholics_above_them_that_says__for_we_br.jpg,success,0,0,0,0.95,"['skeleton', 'scythe', 'robe', 'mask', 'beak_mask']",图像中没有可见的人物，但有骷髅和交叉的十字架，暗示着死亡的主题。,
black death,a creepy looking man in front of a large clock with his arm extended and hands out,https://i.pinimg.com/236x/dc/35/67/dc35670332bb552fa69f7bf2da5eb116.jpg,black_death_1775740909_a_creepy_looking_man_in_front_of_a_large_clock_with_his_arm_extended_and_hands_out.jpg,pinterest_data\raw\black_death_1775740909_a_creepy_looking_man_in_front_of_a_large_clock_with_his_arm_extended_and_hands_out.jpg,success,1,0,1,0.95,"['plague_doctor', 'grim_reaper', 'skeleton', 'scythe', 'robe', 'mask', 'beak_mask', 'medieval', 'historical']",图中有身穿黑袍、手持镰刀的人物，符合死神的特征。,
black death,"Looking to work with deities in witchcraft? Learn about The Morrigan, the Celtic pagan goddess of de",https://i.pinimg.com/236x/b2/8f/bb/b28fbb65e6a8777cd9961679021c8c3a.jpg,black_death_1775740910_Looking_to_work_with_deities_in_witchcraft__Learn_about_The_Morrigan__the_Celtic_pagan_goddess_of_de.jpg,pinterest_data\raw\black_death_1775740910_Looking_to_work_with_deities_in_witchcraft__Learn_about_The_Morrigan__the_Celtic_pagan_goddess_of_de.jpg,success,1,0,0,0.95,"['robe', 'mask', 'beak_mask', 'medieval', 'historical', 'outdoor']",图片中有一个身穿长袍的人物，手持一把剑，符合'死神'的特征。,
black death,the anatomy of a plague doctor,https://i.pinimg.com/236x/bc/13/d5/bc13d55f936c54056cc6d45ba1cb21ec.jpg,black_death_1775740911_the_anatomy_of_a_plague_doctor.jpg,pinterest_data\raw\black_death_1775740911_the_anatomy_of_a_plague_doctor.jpg,success,1,1,0,0.95,"['plague_doctor', 'mask', 'beak_mask', 'medieval', 'historical']",图片中的人物穿着深色长袍，戴着鸟嘴形状的面具，符合‘鸟嘴医生’的特征。,
black death,"佛, 塔罗牌, 地图, 紋身, 纹身, 插圖, 绘画, 海报, 图案",https://i.pinimg.com/236x/ee/d8/4f/eed84f98683c3fc9283b0aa493b4730e.jpg,black_death_1775740912_佛__塔罗牌__地图__紋身__纹身__插圖__绘画__海报__图案.jpg,pinterest_data\raw\black_death_1775740912_佛__塔罗牌__地图__紋身__纹身__插圖__绘画__海报__图案.jpg,success,1,0,1,0.95,"['plague_doctor', 'grim_reaper', 'skeleton', 'scythe', 'robe', 'mask', 'beak_mask', 'medieval', 'historical']",图中有骷髅骨架和身穿黑袍的人物，符合死神的特征。,
black death,a drawing of a man riding on the back of a horse,https://i.pinimg.com/236x/de/e8/52/dee85234dbf8b9186f126dc1d202b9b0.jpg,black_death_1775740914_a_drawing_of_a_man_riding_on_the_back_of_a_horse.jpg,pinterest_data\raw\black_death_1775740914_a_drawing_of_a_man_riding_on_the_back_of_a_horse.jpg,success,1,0,1,0.95,"['plague_doctor', 'grim_reaper', 'skeleton', 'scythe', 'robe', 'mask', 'beak_mask', 'medieval', 'historical']",图中有骷髅骨架、身披黑袍、手持镰刀的形象，符合死神的特征。,
black death,a black and white drawing of a skeleton wearing a hat,https://i.pinimg.com/236x/b4/11/2b/b4112b8f03efd355d5dfd5a6681d4e12.jpg,black_death_1775740915_a_black_and_white_drawing_of_a_skeleton_wearing_a_hat.jpg,pinterest_data\raw\black_death_1775740915_a_black_and_white_drawing_of_a_skeleton_wearing_a_hat.jpg,success,1,1,0,0.95,"['plague_doctor', 'mask', 'beak_mask']",图中人物穿着黑色长袍，戴着鸟嘴形状的面具，符合'鸟嘴医生'的特征。,
black death,black and white photograph of birds flying in the sky,https://i.pinimg.com/236x/2b/09/49/2b09490eb0dbfbde7795ffca08250744.jpg,black_death_1775740916_black_and_white_photograph_of_birds_flying_in_the_sky.jpg,pinterest_data\raw\black_death_1775740916_black_and_white_photograph_of_birds_flying_in_the_sky.jpg,success,1,0,0,0.95,"['plague_doctor', 'mask', 'beak_mask']",图中有一个人穿着黑色长袍，戴着鸟嘴形状的面具，符合'鸟嘴医生'的特征。,
black death,a black and white drawing of a person with a skull on their head holding a baby,https://i.pinimg.com/236x/f9/4a/81/f94a8166ca8343f3afa09628ddf19c46.jpg,black_death_1775740917_a_black_and_white_drawing_of_a_person_with_a_skull_on_their_head_holding_a_baby.jpg,pinterest_data\raw\black_death_1775740917_a_black_and_white_drawing_of_a_person_with_a_skull_on_their_head_holding_a_baby.jpg,success,1,0,1,0.95,"['plague_doctor', 'grim_reaper', 'skeleton', 'scythe', 'robe', 'mask', 'beak_mask', 'medieval', 'historical']",图像中的人物穿着黑色长袍，戴着鸟嘴形状的面具，符合‘鸟嘴医生’的特征。同时，人物有骷髅头和镰刀，符合‘死神’的特征。,
