search_query,title,image_url,filename,save_path,download_status,has_people,has_plague_doctor,has_grim_reaper,confidence,tags,reason,error
plague doctor,pinterest_plague doctor_1,https://i.pinimg.com/60x60/9e/be/e0/9ebee0170c7232b0a3ff28532e44d095.jpg,plague_doctor_1775741852_pinterest_plague_doctor_1.jpg,pinterest_data\raw\plague_doctor_1775741852_pinterest_plague_doctor_1.jpg,success,1,0,0,0.95,"['plague_doctor', 'mask', 'beak_mask']",图片中的人物穿着黑色长袍，戴着鸟嘴形状的面具，符合‘鸟嘴医生’的特征。,
plague doctor,pinterest_plague doctor_2,https://i.pinimg.com/60x60/e9/2e/3d/e92e3db0fe886a38de46f59a4d8a826d.jpg,plague_doctor_1775741854_pinterest_plague_doctor_2.jpg,pinterest_data\raw\plague_doctor_1775741854_pinterest_plague_doctor_2.jpg,success,0,0,0,0.95,"['mask', 'beak_mask']",图像中没有可见的人物，因此无法识别'鸟嘴医生'和'死神'的形象。,
plague doctor,pinterest_plague doctor_3,https://i.pinimg.com/60x60/c9/8f/1a/c98f1a1b507525879953c6adcaaefbaa.jpg,plague_doctor_1775741855_pinterest_plague_doctor_3.jpg,pinterest_data\raw\plague_doctor_1775741855_pinterest_plague_doctor_3.jpg,success,1,1,0,0.95,"['plague_doctor', 'mask', 'beak_mask']",图片中的人物穿着黑色长袍，戴着鸟嘴形状的面具，符合‘鸟嘴医生’的特征。,
plague doctor,pinterest_plague doctor_4,https://i.pinimg.com/60x60/ae/87/13/ae8713b61f1f998692c7a7dbc0f5560b.jpg,plague_doctor_1775741856_pinterest_plague_doctor_4.jpg,pinterest_data\raw\plague_doctor_1775741856_pinterest_plague_doctor_4.jpg,success,0,0,0,0.95,"['robe', 'mask', 'beak_mask']",图片中没有可见的人物形象。,
plague doctor,pinterest_plague doctor_5,https://i.pinimg.com/60x60/77/8b/02/778b02fb3fa98fce4a9f9dd2fa20faa0.jpg,plague_doctor_1775741857_pinterest_plague_doctor_5.jpg,pinterest_data\raw\plague_doctor_1775741857_pinterest_plague_doctor_5.jpg,success,1,0,0,0.95,"['robe', 'mask', 'beak_mask']",图片中的人物穿着黑色长袍，戴着类似鸟嘴形状的面具，符合'鸟嘴医生'的特征。,
plague doctor,pinterest_plague doctor_6,https://i.pinimg.com/60x60/45/83/27/458327d1249f50f51614bb88a559d097.jpg,plague_doctor_1775741859_pinterest_plague_doctor_6.jpg,pinterest_data\raw\plague_doctor_1775741859_pinterest_plague_doctor_6.jpg,success,1,0,0,0.95,"['robe', 'mask', 'beak_mask']",图片中的人物穿着黑色长袍，戴着鸟嘴形状的面具，符合'鸟嘴医生'的特征。,
plague doctor,pinterest_plague doctor_7,https://i.pinimg.com/60x60/fc/c1/71/fcc171495a8d96199878efb3b7ae523b.jpg,plague_doctor_1775741860_pinterest_plague_doctor_7.jpg,pinterest_data\raw\plague_doctor_1775741860_pinterest_plague_doctor_7.jpg,success,1,0,0,0.95,"['plague_doctor', 'robe', 'mask', 'beak_mask']",图片中的人物穿着黑色长袍，戴着鸟嘴形状的面具，符合‘鸟嘴医生’的特征。,
plague doctor,pinterest_plague doctor_8,https://i.pinimg.com/60x60/85/da/84/85da8473d72a3e53cfee6ce3871fcaa4.jpg,plague_doctor_1775741861_pinterest_plague_doctor_8.jpg,pinterest_data\raw\plague_doctor_1775741861_pinterest_plague_doctor_8.jpg,success,1,0,0,0.95,"['plague_doctor', 'mask', 'beak_mask']",图片中的人物穿着黑色长袍，戴着鸟嘴形状的面具，符合'鸟嘴医生'的特征。,
plague doctor,pinterest_plague doctor_9,https://i.pinimg.com/60x60/20/eb/a6/20eba601f383edf04036d16bd9fb7146.jpg,plague_doctor_1775741862_pinterest_plague_doctor_9.jpg,pinterest_data\raw\plague_doctor_1775741862_pinterest_plague_doctor_9.jpg,success,1,0,0,0.95,"['plague_doctor', 'mask', 'beak_mask']",图中有一个人物，穿着黑色长袍，戴着鸟嘴形状的面具。,
plague doctor,pinterest_plague doctor_10,https://i.pinimg.com/60x60/d5/6c/d7/d56cd7e02e9e726909c0ce1accb87595.jpg,plague_doctor_1775741863_pinterest_plague_doctor_10.jpg,pinterest_data\raw\plague_doctor_1775741863_pinterest_plague_doctor_10.jpg,success,1,1,0,0.95,"['plague_doctor', 'mask', 'beak_mask']",图片中有两个穿着黑色长袍和戴有鸟嘴形状面具的人物，符合'鸟嘴医生'的特征。,
plague doctor,pinterest_plague doctor_11,https://i.pinimg.com/60x60/9b/7f/88/9b7f8818eb173799e51a24b61a08c23a.jpg,plague_doctor_1775741865_pinterest_plague_doctor_11.jpg,pinterest_data\raw\plague_doctor_1775741865_pinterest_plague_doctor_11.jpg,success,1,0,0,0.95,"['plague_doctor', 'mask', 'beak_mask']",图片中的人物穿着黑色长袍，戴着鸟嘴形状的面具，符合‘鸟嘴医生’的特征。,
plague doctor,pinterest_plague doctor_12,https://i.pinimg.com/60x60/dd/2c/b8/dd2cb819530c8bef23366fece1a57822.jpg,plague_doctor_1775741866_pinterest_plague_doctor_12.jpg,pinterest_data\raw\plague_doctor_1775741866_pinterest_plague_doctor_12.jpg,success,1,0,0,0.95,"['plague_doctor', 'mask', 'beak_mask']",图片中的人物穿着黑色长袍，戴着鸟嘴形状的面具，符合'鸟嘴医生'的特征。,
plague doctor,pinterest_plague doctor_13,https://i.pinimg.com/60x60/f4/26/8a/f4268a64ab16e059a778e4ec17235f77.jpg,plague_doctor_1775741867_pinterest_plague_doctor_13.jpg,pinterest_data\raw\plague_doctor_1775741867_pinterest_plague_doctor_13.jpg,success,0,0,0,0.95,"['robe', 'mask']",图片中没有可见的人物形象。,
